site_number,file,line,call_signature,verdict,severity,evidence_quote,verified_at,verified_by,session,file_hash_at_verify
11,server/src/routes/privacy.ts,926,POST /retention/jobs/:id/run (router.post),WRAPPED_VERIFIED,NONE,"router.post('/retention/jobs/:id/run', authorize('admin'), idempotencyKey(), asyncHandler(...)) — explicit idempotencyKey() middleware present at line 929",2026-05-30T00:00:00Z,session13_subagent_17,session13,e0069a82466133a26a76b55985930beef271eef8330dbc18eb7f3a90665c9f6a
12,server/src/routes/privacy.ts,1018,POST /scc-tia (router.post),GAP_LOW,LOW,"router.post('/scc-tia', authorize('admin','editor'), asyncHandler(...)) — prisma.sCCTemplate.create without idempotencyKey()",2026-05-30T00:00:00Z,session13_subagent_17,session13,e0069a82466133a26a76b55985930beef271eef8330dbc18eb7f3a90665c9f6a
13,server/src/routes/privacy.ts,1056,PATCH /scc-tia/:id (router.patch),GAP_LOW,LOW,"router.patch('/scc-tia/:id', authorize('admin','editor'), asyncHandler(...)) — prisma.sCCTemplate.update with org-scoped pre-check; no idempotencyKey()",2026-05-30T00:00:00Z,session13_subagent_17,session13,e0069a82466133a26a76b55985930beef271eef8330dbc18eb7f3a90665c9f6a
14,server/src/routes/privacy.ts,1125,POST /scc-tia/:id/tia (router.post),IDEMPOTENT_BY_DESIGN,NONE,"prisma.tIAAssessment.upsert({ where: { sccTemplateId: req.params.id } }) — upsert keyed on deterministic unique sccTemplateId; repeat calls converge",2026-05-30T00:00:00Z,session13_subagent_17,session13,e0069a82466133a26a76b55985930beef271eef8330dbc18eb7f3a90665c9f6a
15,server/src/routes/privacy.ts,1224,POST /bcr (router.post),GAP_LOW,LOW,"router.post('/bcr', authorize('admin'), asyncHandler(...)) — prisma.bCRProgram.create without idempotencyKey()",2026-05-30T00:00:00Z,session13_subagent_17,session13,e0069a82466133a26a76b55985930beef271eef8330dbc18eb7f3a90665c9f6a
16,server/src/routes/privacy.ts,1264,PATCH /bcr/:id (router.patch),GAP_LOW,LOW,"router.patch('/bcr/:id', authorize('admin'), asyncHandler(...)) — prisma.bCRProgram.update with org-scoped pre-check; no idempotencyKey()",2026-05-30T00:00:00Z,session13_subagent_17,session13,e0069a82466133a26a76b55985930beef271eef8330dbc18eb7f3a90665c9f6a
17,server/src/routes/privacy.ts,1339,POST /marketing/opt-out (router.post),IDEMPOTENT_BY_DESIGN,NONE,"prisma.consentPreference.upsert({ where: { organizationId_dataSubjectId: { organizationId: user.organizationId, dataSubjectId: req.body.dataSubjectId } } }) — upsert keyed on deterministic composite",2026-05-30T00:00:00Z,session13_subagent_17,session13,e0069a82466133a26a76b55985930beef271eef8330dbc18eb7f3a90665c9f6a
18,server/src/routes/privacy.ts,1419,POST /marketing/suppression-list (router.post),IDEMPOTENT_BY_DESIGN,NONE,"prisma.consentPreference.upsert({ where: { organizationId_dataSubjectId: { organizationId: user.organizationId, dataSubjectId: req.body.dataSubjectId } } }) — upsert keyed on deterministic composite",2026-05-30T00:00:00Z,session13_subagent_17,session13,e0069a82466133a26a76b55985930beef271eef8330dbc18eb7f3a90665c9f6a
19,server/src/routes/privacy.ts,1558,POST /deletion (router.post),GAP_LOW,LOW,"router.post('/deletion', authorize('admin','editor'), asyncHandler(...)) — prisma.dataDeletionRequest.create without idempotencyKey()",2026-05-30T00:00:00Z,session13_subagent_17,session13,e0069a82466133a26a76b55985930beef271eef8330dbc18eb7f3a90665c9f6a
20,server/src/routes/privacy.ts,1620,PATCH /deletion/:id (router.patch),GAP_LOW,LOW,"router.patch('/deletion/:id', authorize('admin','editor'), asyncHandler(...)) — prisma.dataDeletionRequest.update with org-scoped pre-check; no idempotencyKey()",2026-05-30T00:00:00Z,session13_subagent_17,session13,e0069a82466133a26a76b55985930beef271eef8330dbc18eb7f3a90665c9f6a
21,server/src/routes/privacy.ts,1671,POST /deletion/:id/verify (router.post),GAP_LOW,LOW,"router.post('/deletion/:id/verify', authorize('admin'), asyncHandler(...)) — prisma.dataDeletionRequest.update status=Approved; no idempotencyKey()",2026-05-30T00:00:00Z,session13_subagent_17,session13,e0069a82466133a26a76b55985930beef271eef8330dbc18eb7f3a90665c9f6a
22,server/src/routes/privacy.ts,1714,POST /deletion/:id/execute (router.post),WRAPPED_VERIFIED,NONE,"router.post('/deletion/:id/execute', authorize('admin'), idempotencyKey(), asyncHandler(...)) — explicit idempotencyKey() middleware present at line 1717",2026-05-30T00:00:00Z,session13_subagent_17,session13,e0069a82466133a26a76b55985930beef271eef8330dbc18eb7f3a90665c9f6a
23,server/src/routes/privacy.ts,1789,POST /restrictions (router.post),GAP_LOW,LOW,"router.post('/restrictions', authorize('admin','editor'), asyncHandler(...)) — prisma.processingRestriction.create without idempotencyKey()",2026-05-30T00:00:00Z,session13_subagent_17,session13,e0069a82466133a26a76b55985930beef271eef8330dbc18eb7f3a90665c9f6a
24,server/src/routes/privacy.ts,1820,PATCH /restrictions/:id (router.patch),GAP_LOW,LOW,"router.patch('/restrictions/:id', authorize('admin','editor'), asyncHandler(...)) — prisma.processingRestriction.update with org-scoped pre-check; no idempotencyKey()",2026-05-30T00:00:00Z,session13_subagent_17,session13,e0069a82466133a26a76b55985930beef271eef8330dbc18eb7f3a90665c9f6a
25,server/src/routes/privacy.ts,1857,POST /restrictions/:id/lift (router.post),GAP_LOW,LOW,"router.post('/restrictions/:id/lift', authorize('admin','editor'), asyncHandler(...)) — prisma.processingRestriction.update status=Lifted; no idempotencyKey()",2026-05-30T00:00:00Z,session13_subagent_17,session13,e0069a82466133a26a76b55985930beef271eef8330dbc18eb7f3a90665c9f6a
