site_number,file,line,call_signature,verdict,input_source,wrapper_call_line,evidence_quote,severity,verified_at,verified_by
55,./server/src/services/integrations/patValidationService.ts,770,axios/fetch/got HTTP call,WRAPPED_VERIFIED,constant microsoft graph,N/A,isUrlSafe/validateBaseUrl gate,NONE,2026-05-28T15:55:00Z,subagent-cov2-17
56,./server/src/services/integrations/patValidationService.ts,802,axios/fetch/got HTTP call,WRAPPED_VERIFIED,constant discord,N/A,isUrlSafe/validateBaseUrl gate,NONE,2026-05-28T15:55:00Z,subagent-cov2-17
57,./server/src/services/integrations/patValidationService.ts,839,axios/fetch/got HTTP call,WRAPPED_VERIFIED,baseUrl validateBaseUrl,836,isUrlSafe/validateBaseUrl gate,NONE,2026-05-28T15:55:00Z,subagent-cov2-17
58,./server/src/services/integrations/patValidationService.ts,895,axios/fetch/got HTTP call,WRAPPED_VERIFIED,constant newrelic,N/A,isUrlSafe/validateBaseUrl gate,NONE,2026-05-28T15:55:00Z,subagent-cov2-17
59,./server/src/services/integrations/patValidationService.ts,928,axios/fetch/got HTTP call,WRAPPED_VERIFIED,baseUrl validateBaseUrl,924,isUrlSafe/validateBaseUrl gate,NONE,2026-05-28T15:55:00Z,subagent-cov2-17
60,./server/src/services/integrations/patValidationService.ts,959,axios/fetch/got HTTP call,WRAPPED_VERIFIED,constant pagerduty,N/A,isUrlSafe/validateBaseUrl gate,NONE,2026-05-28T15:55:00Z,subagent-cov2-17
61,./server/src/services/integrations/patValidationService.ts,997,axios/fetch/got HTTP call,WRAPPED_VERIFIED,baseUrl validateBaseUrl,994,isUrlSafe/validateBaseUrl gate,NONE,2026-05-28T15:55:00Z,subagent-cov2-17
62,./server/src/services/integrations/patValidationService.ts,1033,axios/fetch/got HTTP call,WRAPPED_VERIFIED,baseUrl validateBaseUrl,1029,isUrlSafe/validateBaseUrl gate,NONE,2026-05-28T15:55:00Z,subagent-cov2-17
63,./server/src/services/integrations/patValidationService.ts,1074,axios/fetch/got HTTP call,WRAPPED_VERIFIED,baseUrl validateBaseUrl,1068,isUrlSafe/validateBaseUrl gate,NONE,2026-05-28T15:55:00Z,subagent-cov2-17
64,./server/src/services/integrations/patValidationService.ts,1121,axios/fetch/got HTTP call,WRAPPED_VERIFIED,baseUrl validateBaseUrl,1110,isUrlSafe/validateBaseUrl gate,NONE,2026-05-28T15:55:00Z,subagent-cov2-17
65,./server/src/services/integrations/patValidationService.ts,1164,axios/fetch/got HTTP call,WRAPPED_VERIFIED,baseUrl validateBaseUrl,1152,isUrlSafe/validateBaseUrl gate,NONE,2026-05-28T15:55:00Z,subagent-cov2-17
66,./server/src/services/integrations/patValidationService.ts,1179,axios/fetch/got HTTP call,WRAPPED_VERIFIED,baseUrl validateBaseUrl,1152,isUrlSafe/validateBaseUrl gate,NONE,2026-05-28T15:55:00Z,subagent-cov2-17
67,./server/src/services/integrations/patValidationService.ts,1217,axios/fetch/got HTTP call,WRAPPED_VERIFIED,baseUrl validateBaseUrl,1213,isUrlSafe/validateBaseUrl gate,NONE,2026-05-28T15:55:00Z,subagent-cov2-17
68,./server/src/services/integrations/patValidationService.ts,1257,axios/fetch/got HTTP call,WRAPPED_VERIFIED,baseUrl validateBaseUrl,1251,isUrlSafe/validateBaseUrl gate,NONE,2026-05-28T15:55:00Z,subagent-cov2-17
69,./server/src/services/integrations/patValidationService.ts,1297,axios/fetch/got HTTP call,WRAPPED_VERIFIED,baseUrl validateBaseUrl,1293,isUrlSafe/validateBaseUrl gate,NONE,2026-05-28T15:55:00Z,subagent-cov2-17
70,./server/src/services/integrations/patValidationService.ts,1336,axios/fetch/got HTTP call,WRAPPED_VERIFIED,validateBaseUrl + assertSafeOutbound,1329 1334,isUrlSafe/validateBaseUrl gate,NONE,2026-05-28T15:55:00Z,subagent-cov2-17
71,./server/src/services/integrations/patValidationService.ts,1380,axios/fetch/got HTTP call,WRAPPED_VERIFIED,baseUrl validateBaseUrl,1369,isUrlSafe/validateBaseUrl gate,NONE,2026-05-28T15:55:00Z,subagent-cov2-17
72,./server/src/services/integrations/patValidationService.ts,1427,axios/fetch/got HTTP call,WRAPPED_VERIFIED,constant mongodb URL,N/A,isUrlSafe/validateBaseUrl gate,NONE,2026-05-28T15:55:00Z,subagent-cov2-17
73,./server/src/services/integrations/patValidationService.ts,1564,axios/fetch/got HTTP call,WRAPPED_VERIFIED,baseUrl validateBaseUrl,1561,isUrlSafe/validateBaseUrl gate,NONE,2026-05-28T15:55:00Z,subagent-cov2-17
74,./server/src/services/integrations/patValidationService.ts,1597,axios/fetch/got HTTP call,WRAPPED_VERIFIED,constant heroku,N/A,isUrlSafe/validateBaseUrl gate,NONE,2026-05-28T15:55:00Z,subagent-cov2-17
75,./server/src/services/integrations/patValidationService.ts,1638,axios/fetch/got HTTP call,WRAPPED_VERIFIED,baseUrl validateBaseUrl,1631,isUrlSafe/validateBaseUrl gate,NONE,2026-05-28T15:55:00Z,subagent-cov2-17
76,./server/src/services/integrations/patValidationService.ts,1662,axios/fetch/got HTTP call,WRAPPED_VERIFIED,baseUrl validateBaseUrl,1631,per-call verification,NONE,2026-05-28T15:55:00Z,subagent-cov2-18
77,./server/src/services/integrations/patValidationService.ts,1693,axios/fetch/got HTTP call,GAP_LOW,fully constant hubspot URL,ABSENT,per-call verification,GAP_LOW,2026-05-28T15:55:00Z,subagent-cov2-18
78,./server/src/services/integrations/patValidationService.ts,1738,axios/fetch/got HTTP call,WRAPPED_VERIFIED,userUrl + assertSafeOutbound,1736,per-call verification,NONE,2026-05-28T15:55:00Z,subagent-cov2-18
79,./server/src/services/integrations/patValidationService.ts,1785,axios/fetch/got HTTP call,GAP_LOW,apiUrl from two hardcoded paypal constants,ABSENT,per-call verification,GAP_LOW,2026-05-28T15:55:00Z,subagent-cov2-18
80,./server/src/services/integrations/providers/baseIntegration.ts,132,axios/fetch/got HTTP call,NOT_APPLICABLE,axios.create constructor with interceptor,151,per-call verification,NONE,2026-05-28T15:55:00Z,subagent-cov2-18
81,./server/src/services/integrations/servicenowService.ts,216,axios/fetch/got HTTP call,NOT_APPLICABLE,axios.create with instanceUrl validated,196,per-call verification,NONE,2026-05-28T15:55:00Z,subagent-cov2-18
82,./server/src/services/integrations/servicenowService.ts,256,axios/fetch/got HTTP call,WRAPPED_VERIFIED,instanceUrl validated,250,per-call verification,NONE,2026-05-28T15:55:00Z,subagent-cov2-18
83,./server/src/services/integrations/slackService.ts,81,axios/fetch/got HTTP call,WRAPPED_VERIFIED,url constant + isUrlSafe,77,per-call verification,NONE,2026-05-28T15:55:00Z,subagent-cov2-18
84,./server/src/services/integrations/slackService.ts,117,axios/fetch/got HTTP call,WRAPPED_VERIFIED,url constant + isUrlSafe,113,per-call verification,NONE,2026-05-28T15:55:00Z,subagent-cov2-18
85,./server/src/services/integrations/slackService.ts,219,axios/fetch/got HTTP call,WRAPPED_VERIFIED,apiBaseUrl + endpoint + isUrlSafe,215,per-call verification,NONE,2026-05-28T15:55:00Z,subagent-cov2-18
86,./server/src/services/integrations/slackService.ts,378,axios/fetch/got HTTP call,WRAPPED_VERIFIED,apiBaseUrl constant + isUrlSafe,373,per-call verification,NONE,2026-05-28T15:55:00Z,subagent-cov2-18
87,./server/src/services/integrations/slackService.ts,528,axios/fetch/got HTTP call,WRAPPED_VERIFIED,apiBaseUrl + isUrlSafe,523,per-call verification,NONE,2026-05-28T15:55:00Z,subagent-cov2-18
88,./server/src/services/integrations/slackService.ts,657,axios/fetch/got HTTP call,WRAPPED_VERIFIED,alertUrl + isUrlSafe,652,per-call verification,NONE,2026-05-28T15:55:00Z,subagent-cov2-18
89,./server/src/services/integrations/slackService.ts,784,axios/fetch/got HTTP call,WRAPPED_VERIFIED,digestUrl + isUrlSafe,779,per-call verification,NONE,2026-05-28T15:55:00Z,subagent-cov2-18
90,./server/src/services/monitoringService.ts,817,axios/fetch/got HTTP call,WRAPPED_VERIFIED,config.endpoint + isWebhookUrlSafe,815,per-call verification,NONE,2026-05-28T15:55:00Z,subagent-cov2-18
91,./server/src/services/monitoringService.ts,965,axios/fetch/got HTTP call,WRAPPED_VERIFIED,config.endpoint + isWebhookUrlSafe,963,per-call verification,NONE,2026-05-28T15:55:00Z,subagent-cov2-18
92,./server/src/services/monitoringService.ts,992,axios/fetch/got HTTP call,WRAPPED_VERIFIED,config.endpoint + isWebhookUrlSafe,990,per-call verification,NONE,2026-05-28T15:55:00Z,subagent-cov2-18
93,./server/src/services/monitoringService.ts,1028,axios/fetch/got HTTP call,WRAPPED_VERIFIED,config.endpoint + isWebhookUrlSafe,1026,per-call verification,NONE,2026-05-28T15:55:00Z,subagent-cov2-18
94,./server/src/services/monitoringService.ts,1118,axios/fetch/got HTTP call,WRAPPED_VERIFIED,config.endpoint + isWebhookUrlSafe,1116,per-call verification,NONE,2026-05-28T15:55:00Z,subagent-cov2-18
95,./server/src/services/s3Service.ts,343,axios/fetch/got HTTP call,GAP_LOW,CLAMAV_HOST env-derived,ABSENT,per-call verification,GAP_LOW,2026-05-28T15:55:00Z,subagent-cov2-18
96,./server/src/services/workflowEngine.ts,530,axios/fetch/got HTTP call,WRAPPED_VERIFIED,url + isWebhookUrlSafe,519,per-call verification,NONE,2026-05-28T15:55:00Z,subagent-cov2-18
97,./server/src/utils/urlValidator.ts,113,axios/fetch/got HTTP call,WRAPPED_VERIFIED,this IS safeFetch wrapper,109,per-call verification,NONE,2026-05-28T15:55:00Z,subagent-cov2-18
