call_number,file,line,call_type,hint_from_scanner,verdict,evidence_lines_read,evidence_quote,verified_at,verified_by
028,./server/src/services/integrations/githubService.ts,60,axios.post,DYNAMIC_URL_NO_VALIDATION,SAFE_CONSTANT_NO_OVERRIDE,server/src/services/integrations/githubService.ts:28-72,"private readonly authBaseUrl = 'https://github.com/login/oauth'; ... await axios.post(`${this.authBaseUrl}/access_token`; ...); authBaseUrl is a hardcoded class constant",2026-05-25T00:00:00Z,F7_chunk_02
029,./server/src/services/integrations/githubService.ts,91,axios.get,DYNAMIC_URL_NO_VALIDATION,SAFE_CONSTANT_NO_OVERRIDE,server/src/services/integrations/githubService.ts:28-103,"private readonly apiBaseUrl = 'https://api.github.com'; ... await axios.get(`${this.apiBaseUrl}/user`; ...); apiBaseUrl is a hardcoded class constant",2026-05-25T00:00:00Z,F7_chunk_02
030,./server/src/services/integrations/githubService.ts,183,axios.get,VALIDATED,SAFE_VALIDATED,server/src/services/integrations/githubService.ts:177-198,"const url = `${this.apiBaseUrl}${endpoint}`; if (!isUrlSafe(url)) { throw new AppError('Blocked unsafe outbound URL'; 400); } try { const response = await axios.get(url; ...); explicit isUrlSafe gate before call",2026-05-25T00:00:00Z,F7_chunk_02
031,./server/src/services/integrations/jiraService.ts,63,axios.post,DYNAMIC_URL_NO_VALIDATION,SAFE_CONSTANT_NO_OVERRIDE,server/src/services/integrations/jiraService.ts:29-88,"private readonly authBaseUrl = 'https://auth.atlassian.com'; ... await axios.post(`${this.authBaseUrl}/oauth/token`; ...); authBaseUrl is a hardcoded class constant",2026-05-25T00:00:00Z,F7_chunk_02
032,./server/src/services/integrations/jiraService.ts,95,axios.post,DYNAMIC_URL_NO_VALIDATION,SAFE_CONSTANT_NO_OVERRIDE,server/src/services/integrations/jiraService.ts:29-113,"await axios.post(`${this.authBaseUrl}/oauth/token`; { grant_type: 'refresh_token'; ...}); authBaseUrl is hardcoded 'https://auth.atlassian.com'",2026-05-25T00:00:00Z,F7_chunk_02
033,./server/src/services/integrations/jiraService.ts,120,axios.get,DYNAMIC_URL_NO_VALIDATION,SAFE_CONSTANT_NO_OVERRIDE,server/src/services/integrations/jiraService.ts:29-131,"private readonly apiBaseUrl = 'https://api.atlassian.com'; ... await axios.get(`${this.apiBaseUrl}/oauth/token/accessible-resources`; ...); apiBaseUrl is hardcoded constant",2026-05-25T00:00:00Z,F7_chunk_02
034,./server/src/services/integrations/jiraService.ts,332,axios.get,VALIDATED,SAFE_VALIDATED,server/src/services/integrations/jiraService.ts:321-350,"const url = `${this.apiBaseUrl}/ex/jira/${cloudId}/rest/api/3${endpoint}`; if (!isUrlSafe(url)) { throw new AppError('Blocked unsafe outbound URL'; 400); } try { const response = await axios.get(url; ...);",2026-05-25T00:00:00Z,F7_chunk_02
035,./server/src/services/integrations/jiraService.ts,439,axios.post,DYNAMIC_URL_NO_VALIDATION,SAFE_CONSTANT_NO_OVERRIDE,server/src/services/integrations/jiraService.ts:426-491,"await axios.post(`${this.apiBaseUrl}/ex/jira/${cloudId}/rest/api/3/issue`; ...); apiBaseUrl is hardcoded 'https://api.atlassian.com' — host is literal; cloudId is path-only",2026-05-25T00:00:00Z,F7_chunk_02
036,./server/src/services/integrations/jiraService.ts,787,axios.get,DYNAMIC_URL_NO_VALIDATION,SAFE_CONSTANT_NO_OVERRIDE,server/src/services/integrations/jiraService.ts:766-790,"await axios.get(`${this.apiBaseUrl}/ex/jira/${cloudId}/rest/api/3/issue/${issueKey}/transitions`; ...); apiBaseUrl is class constant 'https://api.atlassian.com'",2026-05-25T00:00:00Z,F7_chunk_02
037,./server/src/services/integrations/jiraService.ts,799,axios.post,DYNAMIC_URL_NO_VALIDATION,SAFE_CONSTANT_NO_OVERRIDE,server/src/services/integrations/jiraService.ts:766-803,"await axios.post(`${this.apiBaseUrl}/ex/jira/${cloudId}/rest/api/3/issue/${issueKey}/transitions`; ...); apiBaseUrl hardcoded 'https://api.atlassian.com'",2026-05-25T00:00:00Z,F7_chunk_02
038,./server/src/services/integrations/jiraService.ts,808,axios.post,DYNAMIC_URL_NO_VALIDATION,SAFE_CONSTANT_NO_OVERRIDE,server/src/services/integrations/jiraService.ts:766-819,"await axios.post(`${this.apiBaseUrl}/ex/jira/${cloudId}/rest/api/3/issue/${issueKey}/comment`; ...); apiBaseUrl hardcoded 'https://api.atlassian.com'",2026-05-25T00:00:00Z,F7_chunk_02
039,./server/src/services/integrations/patValidationService.ts,163,axios.get,CONSTANT_URL_SAFE,SAFE_CONSTANT_NO_OVERRIDE,server/src/services/integrations/patValidationService.ts:161-192,"const response = await axios.get('https://api.github.com/user'; { headers: ...}); URL is a string literal",2026-05-25T00:00:00Z,F7_chunk_02
040,./server/src/services/integrations/patValidationService.ts,202,axios.get,VALIDATED,SAFE_VALIDATED,server/src/services/integrations/patValidationService.ts:17-25 197-212,"private validateBaseUrl(baseUrl: string | undefined): void { if (baseUrl && !isUrlSafe(baseUrl)) { throw new AppError('Invalid base URL'; 400); } } ... this.validateBaseUrl(baseUrl); const apiUrl = baseUrl ? `${baseUrl}/api/v4/user` : 'https://gitlab.com/api/v4/user'; await axios.get(apiUrl; ...);",2026-05-25T00:00:00Z,F7_chunk_02
041,./server/src/services/integrations/patValidationService.ts,235,axios.get,CONSTANT_URL_SAFE,SAFE_CONSTANT_NO_OVERRIDE,server/src/services/integrations/patValidationService.ts:232-245,"await axios.get('https://api.bitbucket.org/2.0/user'; { auth: ...}); URL is string literal — no parameter override",2026-05-25T00:00:00Z,F7_chunk_02
042,./server/src/services/integrations/patValidationService.ts,268,axios.get,CONSTANT_URL_SAFE,SAFE_CONSTANT_NO_OVERRIDE,server/src/services/integrations/patValidationService.ts:265-278,"await axios.get('https://api.travis-ci.com/user'; { headers: ...}); URL is string literal — no override path",2026-05-25T00:00:00Z,F7_chunk_02
043,./server/src/services/integrations/patValidationService.ts,305,axios.get,CONSTANT_URL_SAFE,SAFE_CONSTANT_NO_OVERRIDE,server/src/services/integrations/patValidationService.ts:303-315,"await axios.get('https://circleci.com/api/v2/me'; { headers: { 'Circle-Token': token }; ...}); URL is string literal",2026-05-25T00:00:00Z,F7_chunk_02
044,./server/src/services/integrations/patValidationService.ts,344,axios.get,VALIDATED,SAFE_VALIDATED,server/src/services/integrations/patValidationService.ts:17-25 334-354,"if (!baseUrl) { return { valid: false; error: 'Jenkins base URL is required' }; } this.validateBaseUrl(baseUrl); ... const apiUrl = `${baseUrl.replace(/\/$/; '')}/whoAmI/api/json`; await axios.get(apiUrl; ...);",2026-05-25T00:00:00Z,F7_chunk_02
045,./server/src/services/integrations/patValidationService.ts,383,axios.get,CONSTANT_URL_SAFE,SAFE_CONSTANT_NO_OVERRIDE,server/src/services/integrations/patValidationService.ts:374-393,"await axios.get('https://api.stripe.com/v1/account'; { headers: { Authorization: `Bearer ${token}` }; ...}); URL is literal",2026-05-25T00:00:00Z,F7_chunk_02
046,./server/src/services/integrations/patValidationService.ts,424,axios.get,CONSTANT_URL_SAFE,SAFE_CONSTANT_NO_OVERRIDE,server/src/services/integrations/patValidationService.ts:416-434,"await axios.get('https://api.sendgrid.com/v3/user/profile'; { headers: { Authorization: `Bearer ${token}` }; ...}); URL is literal",2026-05-25T00:00:00Z,F7_chunk_02
047,./server/src/services/integrations/patValidationService.ts,475,axios.get,CONSTANT_URL_SAFE,SAFE_CONSTANT_NO_OVERRIDE,server/src/services/integrations/patValidationService.ts:465-485,"await axios.get(`https://api.twilio.com/2010-04-01/Accounts/${sid}.json`; ...); host 'api.twilio.com' is literal; only path segment sid is parameterized",2026-05-25T00:00:00Z,F7_chunk_02
048,./server/src/services/integrations/patValidationService.ts,511,axios.get,CONSTANT_URL_SAFE,SAFE_CONSTANT_NO_OVERRIDE,server/src/services/integrations/patValidationService.ts:509-521,"await axios.get('https://api.digitalocean.com/v2/account'; { headers: { Authorization: `Bearer ${token}` }; ...}); URL is literal",2026-05-25T00:00:00Z,F7_chunk_02
049,./server/src/services/integrations/patValidationService.ts,546,axios.get,CONSTANT_URL_SAFE,SAFE_CONSTANT_NO_OVERRIDE,server/src/services/integrations/patValidationService.ts:544-556,"await axios.get('https://hub.docker.com/v2/users/me'; { headers: { Authorization: `Bearer ${token}` }; ...}); URL is literal",2026-05-25T00:00:00Z,F7_chunk_02
050,./server/src/services/integrations/patValidationService.ts,582,axios.get,VALIDATED,SAFE_VALIDATED,server/src/services/integrations/patValidationService.ts:17-25 575-592,"if (!baseUrl) { return { valid: false; error: 'Kubernetes API server URL is required' }; } this.validateBaseUrl(baseUrl); ... await axios.get(`${baseUrl.replace(/\/$/; '')}/api/v1/namespaces`; ...);",2026-05-25T00:00:00Z,F7_chunk_02
051,./server/src/services/integrations/patValidationService.ts,620,axios.get,VALIDATED,SAFE_VALIDATED,server/src/services/integrations/patValidationService.ts:613-626 + utils/urlValidator.ts:37-99,"this.validateBaseUrl(baseUrl); ... const response = await axios.get(`${baseUrl.replace(/\/$/; '')}/rest/api/user/current`",2026-05-25T00:00:00Z,F7_chunk_03
052,./server/src/services/integrations/patValidationService.ts,657,axios.get,CONSTANT_URL_SAFE,SAFE_CONSTANT_NO_OVERRIDE,server/src/services/integrations/patValidationService.ts:651-663,"const response = await axios.get(`https://api.trello.com/1/members/me` ...) — no baseUrl param; token + apiKey only",2026-05-25T00:00:00Z,F7_chunk_03
053,./server/src/services/integrations/patValidationService.ts,691,axios.get,CONSTANT_URL_SAFE,SAFE_CONSTANT_NO_OVERRIDE,server/src/services/integrations/patValidationService.ts:689-696,"const response = await axios.get('https://app.asana.com/api/1.0/users/me' ...) — function signature has only token; no URL override",2026-05-25T00:00:00Z,F7_chunk_03
054,./server/src/services/integrations/patValidationService.ts,723,axios.post,CONSTANT_URL_SAFE,SAFE_CONSTANT_NO_OVERRIDE,server/src/services/integrations/patValidationService.ts:721-731,"const response = await axios.post('https://api.monday.com/v2' ...) — function signature has only token; no URL param",2026-05-25T00:00:00Z,F7_chunk_03
055,./server/src/services/integrations/patValidationService.ts,759,axios.get,CONSTANT_URL_SAFE,SAFE_CONSTANT_NO_OVERRIDE,server/src/services/integrations/patValidationService.ts:756-764,"const response = await axios.get('https://graph.microsoft.com/v1.0/me' ...) — token-only signature; literal URL",2026-05-25T00:00:00Z,F7_chunk_03
056,./server/src/services/integrations/patValidationService.ts,791,axios.get,CONSTANT_URL_SAFE,SAFE_CONSTANT_NO_OVERRIDE,server/src/services/integrations/patValidationService.ts:789-796,"const response = await axios.get('https://discord.com/api/v10/users/@me' ...) — token-only signature; literal URL",2026-05-25T00:00:00Z,F7_chunk_03
057,./server/src/services/integrations/patValidationService.ts,828,axios.get,VALIDATED,SAFE_VALIDATED,server/src/services/integrations/patValidationService.ts:821-833 + utils/urlValidator.ts:37-99,"this.validateBaseUrl(baseUrl); ... await axios.get(`${baseUrl.replace(/\/$/; '')}/api/v1/users/me`",2026-05-25T00:00:00Z,F7_chunk_03
058,./server/src/services/integrations/patValidationService.ts,884,axios.get,CONSTANT_URL_SAFE,SAFE_CONSTANT_NO_OVERRIDE,server/src/services/integrations/patValidationService.ts:882-889,"const response = await axios.get('https://api.newrelic.com/v2/users.json' ...) — token-only signature; literal URL",2026-05-25T00:00:00Z,F7_chunk_03
059,./server/src/services/integrations/patValidationService.ts,917,axios.get,VALIDATED,SAFE_VALIDATED,server/src/services/integrations/patValidationService.ts:912-922 + utils/urlValidator.ts:37-99,"this.validateBaseUrl(baseUrl); const apiUrl = baseUrl ? `${baseUrl}/api/0/` : 'https://sentry.io/api/0/'; ... await axios.get(`${apiUrl}organizations/`",2026-05-25T00:00:00Z,F7_chunk_03
060,./server/src/services/integrations/patValidationService.ts,948,axios.get,CONSTANT_URL_SAFE,SAFE_CONSTANT_NO_OVERRIDE,server/src/services/integrations/patValidationService.ts:946-954,"const response = await axios.get('https://api.pagerduty.com/users/me' ...) — token-only signature; literal URL",2026-05-25T00:00:00Z,F7_chunk_03
061,./server/src/services/integrations/patValidationService.ts,986,axios.get,VALIDATED,SAFE_VALIDATED,server/src/services/integrations/patValidationService.ts:979-994 + utils/urlValidator.ts:37-99,"this.validateBaseUrl(baseUrl); ... await axios.get(`https://${baseUrl.replace(/^https?:\/\//; '').replace(/\/$/; '')}/api/v2/users`",2026-05-25T00:00:00Z,F7_chunk_03
062,./server/src/services/integrations/patValidationService.ts,1022,axios.get,VALIDATED,SAFE_VALIDATED,server/src/services/integrations/patValidationService.ts:1017-1027 + utils/urlValidator.ts:37-99,"this.validateBaseUrl(baseUrl); const apiUrl = baseUrl || 'https://api.datadoghq.com'; ... await axios.get(`${apiUrl}/api/v1/validate`",2026-05-25T00:00:00Z,F7_chunk_03
063,./server/src/services/integrations/patValidationService.ts,1063,axios.get,VALIDATED,SAFE_VALIDATED,server/src/services/integrations/patValidationService.ts:1053-1073 + utils/urlValidator.ts:37-99,"this.validateBaseUrl(baseUrl); ... await axios.get(`${baseUrl.replace(/\/$/; '')}/api/2.0/fo/asset/host/`",2026-05-25T00:00:00Z,F7_chunk_03
064,./server/src/services/integrations/patValidationService.ts,1110,axios.get,VALIDATED,SAFE_VALIDATED,server/src/services/integrations/patValidationService.ts:1098-1115 + utils/urlValidator.ts:37-99,"this.validateBaseUrl(baseUrl); const apiUrl = baseUrl || 'https://cloud.tenable.com'; ... const response = await axios.get(`${apiUrl}/scanners`",2026-05-25T00:00:00Z,F7_chunk_03
065,./server/src/services/integrations/patValidationService.ts,1153,axios.post,VALIDATED,SAFE_VALIDATED,server/src/services/integrations/patValidationService.ts:1140-1164 + utils/urlValidator.ts:37-99,"this.validateBaseUrl(baseUrl); const apiUrl = baseUrl || 'https://api.crowdstrike.com'; ... const oauthResponse = await axios.post(`${apiUrl}/oauth2/token`",2026-05-25T00:00:00Z,F7_chunk_03
066,./server/src/services/integrations/patValidationService.ts,1168,axios.get,VALIDATED,SAFE_VALIDATED,server/src/services/integrations/patValidationService.ts:1140-1174 + utils/urlValidator.ts:37-99,"this.validateBaseUrl(baseUrl); const apiUrl = baseUrl || 'https://api.crowdstrike.com'; ... const validateResponse = await axios.get(`${apiUrl}/sensors/queries/sensors/v1`",2026-05-25T00:00:00Z,F7_chunk_03
067,./server/src/services/integrations/patValidationService.ts,1206,axios.get,VALIDATED,SAFE_VALIDATED,server/src/services/integrations/patValidationService.ts:1198-1213 + utils/urlValidator.ts:37-99,"this.validateBaseUrl(baseUrl); ... await axios.get(`${baseUrl.replace(/\/$/; '')}/api/`",2026-05-25T00:00:00Z,F7_chunk_03
068,./server/src/services/integrations/patValidationService.ts,1246,axios.get,VALIDATED,SAFE_VALIDATED,server/src/services/integrations/patValidationService.ts:1236-1252 + utils/urlValidator.ts:37-99,"this.validateBaseUrl(baseUrl); ... await axios.get(`${baseUrl.replace(/\/$/; '')}/api/3/account`",2026-05-25T00:00:00Z,F7_chunk_03
069,./server/src/services/integrations/patValidationService.ts,1286,axios.get,VALIDATED,SAFE_VALIDATED,server/src/services/integrations/patValidationService.ts:1278-1291 + utils/urlValidator.ts:37-99,"this.validateBaseUrl(baseUrl); ... await axios.get(`${baseUrl.replace(/\/$/; '')}/services/auth/current-context`",2026-05-25T00:00:00Z,F7_chunk_03
070,./server/src/services/integrations/patValidationService.ts,1323,axios.get,VALIDATED,SAFE_VALIDATED,server/src/services/integrations/patValidationService.ts:1314-1329 + utils/urlValidator.ts:37-99,"this.validateBaseUrl(baseUrl); const apiUrl = baseUrl.includes('.') ? baseUrl : `https://api.bamboohr.com/api/gateway.php/${baseUrl}/v1`; ... await axios.get(`${apiUrl}/employees/directory`",2026-05-25T00:00:00Z,F7_chunk_03
071,./server/src/services/integrations/patValidationService.ts,1367,axios.post,VALIDATED,SAFE_VALIDATED,server/src/services/integrations/patValidationService.ts:1352-1377 + utils/urlValidator.ts:37-99,"this.validateBaseUrl(baseUrl); ... const oauthResponse = await axios.post(`${baseUrl}/auth/oauth/v2/token`",2026-05-25T00:00:00Z,F7_chunk_03
072,./server/src/services/integrations/patValidationService.ts,1414,axios.get,VALIDATED,SAFE_VALIDATED,server/src/services/integrations/patValidationService.ts:1404-1420 + utils/urlValidator.ts:37-99,"this.validateBaseUrl(baseUrl); ... await axios.get('https://cloud.mongodb.com/api/atlas/v1.0/groups' ...) — literal URL despite baseUrl param accepted",2026-05-25T00:00:00Z,F7_chunk_03
073,./server/src/services/integrations/patValidationService.ts,1551,axios.get,VALIDATED,SAFE_VALIDATED,server/src/services/integrations/patValidationService.ts:1544-1556 + utils/urlValidator.ts:37-99,"this.validateBaseUrl(baseUrl); ... await axios.get(`${baseUrl.replace(/\/$/; '')}/`",2026-05-25T00:00:00Z,F7_chunk_03
074,./server/src/services/integrations/patValidationService.ts,1584,axios.get,CONSTANT_URL_SAFE,SAFE_CONSTANT_NO_OVERRIDE,server/src/services/integrations/patValidationService.ts:1582-1590,"const response = await axios.get('https://api.heroku.com/account' ...) — token-only signature; literal URL",2026-05-25T00:00:00Z,F7_chunk_03
075,./server/src/services/integrations/patValidationService.ts,1625,axios.post,VALIDATED,SAFE_VALIDATED,server/src/services/integrations/patValidationService.ts:1615-1635 + utils/urlValidator.ts:37-99,"this.validateBaseUrl(baseUrl); ... const oauthResponse = await axios.post(`${baseUrl}/services/oauth2/token`",2026-05-25T00:00:00Z,F7_chunk_03
076,./server/src/services/integrations/patValidationService.ts,1649,axios.get,VALIDATED,SAFE_VALIDATED,server/src/services/integrations/patValidationService.ts:1614-1673,"validateSalesforceToken(token: string; baseUrl?: string) ... this.validateBaseUrl(baseUrl); ... const response = await axios.get(`${baseUrl}/services/data/v57.0/`; ...); validateBaseUrl calls isUrlSafe.",2026-05-25T00:00:00Z,F7_chunk_04
