component,scanner_class,api_refs_count,default_consts_count,state_setters_count,useeffect_updates,verdict,evidence_lines_read,evidence_quote,verified_at,verified_by
components/AIFeatures/GapAnalysis.tsx,FULLY_WIRED,5,0,10,"setLoadingFrameworks; setUserFrameworks",FULLY_WIRED,components/AIFeatures/GapAnalysis.tsx:20-100,"const frameworks = await api.frameworks.list(); setUserFrameworks(frameworks); const response = await api.ai.performGapAnalysis(currentFrameworks; targetFrameworks)",2026-05-25T17:00:00Z,component_chunk_01
components/AIFeatures/HomomorphicAI.tsx,FULLY_WIRED,10,0,21,,FULLY_WIRED,components/AIFeatures/HomomorphicAI.tsx:59-100,"const result = await api.acos.generateHomomorphicKeys(keyScheme; keySecurityLevel); const result = await api.acos.encryptData(dataArray; keys.publicKey; encryptScheme; encryptionParams)",2026-05-25T17:00:00Z,component_chunk_01
components/AIFeatures/NaturalLanguageQuery.tsx,FULLY_WIRED,5,0,9,,FULLY_WIRED,components/AIFeatures/NaturalLanguageQuery.tsx:88-266,"const aiResult = await api.ai.naturalLanguageQuery(text; ...); SUGGESTED_QUERIES are just example prompts/seeds for UI not data",2026-05-25T17:00:00Z,component_chunk_01
components/AIFeatures/PhishingGenerator.tsx,FULLY_WIRED,2,0,9,,FULLY_WIRED,components/AIFeatures/PhishingGenerator.tsx:50-80,"const result = await api.ai.generatePhishing(type; theme; department; difficulty) as any; setScenario((result as any).scenario...)",2026-05-25T17:00:00Z,component_chunk_01
components/AIFeatures/PolicyGenerator.tsx,FULLY_WIRED,2,0,5,,FULLY_WIRED,components/AIFeatures/PolicyGenerator.tsx:25-30,"const text = await generatePolicy(type; company; tone); setResult(text); (generatePolicy is from services/geminiService)",2026-05-25T17:00:00Z,component_chunk_01
components/AIFeatures/RFPResponder.tsx,FULLY_WIRED,3,0,7,,FULLY_WIRED,components/AIFeatures/RFPResponder.tsx:57-116,"const result = await api.ai.generateRFPResponse(truncatedQuestion; context || 'Standard enterprise security posture.') as any",2026-05-25T17:00:00Z,component_chunk_01
components/AIFeatures/RegulatoryAutoRemediation.tsx,FULLY_WIRED,3,0,18,,PARTIALLY_WIRED,components/AIFeatures/RegulatoryAutoRemediation.tsx:112-660,"const REGULATORY_CHANGES = [...]; const REMEDIATION_TASKS = [...]; const IMPACT_ITEMS = [...]; const AUDIT_LOG = [...]; dashboard renders these constants; only setAiInsights from api.ai.autoRemediation",2026-05-25T17:00:00Z,component_chunk_01
components/AIFeatures/VendorScorer.tsx,STATIC_ONLY,0,0,5,,FULLY_WIRED,components/AIFeatures/VendorScorer.tsx:1-66,"import { scoreVendorRisk } from '../../services/geminiService'; const text = await scoreVendorRisk(vendor; service; data); CLAUDE.md-listed Gemini service exemption",2026-05-25T17:00:00Z,component_chunk_01
components/AIRMFAssessments.tsx,FULLY_WIRED,7,0,13,,FULLY_WIRED,components/AIRMFAssessments.tsx:35-60,"const [systemsData] = await Promise.all([api.aiRmf.getAISystems()]); api.aiRmf.getAssessments(system.id); api.aiRmf.createAssessment; api.aiRmf.getAISystemById",2026-05-25T17:00:00Z,component_chunk_01
components/AIRMFDashboard.tsx,FULLY_WIRED,5,0,5,setTimeout,FULLY_WIRED,components/AIRMFDashboard.tsx:84-98,"const [dashboardData; systems] = await Promise.all([api.aiRmf.getDashboardData(); api.aiRmf.getAISystems()]); setStats(dashboardData as DashboardStats)",2026-05-25T17:00:00Z,component_chunk_01
components/AIReportGenerator.tsx,FULLY_WIRED,4,0,"setCompanyName;setContext;setFramework;setFrameworks;setLoading;setLoadingFrameworks;setReport","setLoadingFrameworks; setFrameworks; setFramework",DEV_FALLBACK,components/AIReportGenerator.tsx:1-177,"const allFrameworks = await api.frameworks.list(); ... } catch (error) { logger.error('Failed to load frameworks:'; error); // Fallback to default frameworks setFrameworks([...])",2026-05-25T17:00:00Z,component_chunk_02
components/AISystemCreate.tsx,FULLY_WIRED,2,0,"setErrors;setFormData;setSubmitting",,FULLY_WIRED,components/AISystemCreate.tsx:1-237,"const system = await api.aiRmf.createAISystem(formData); onSuccess((system as any).id);",2026-05-25T17:00:00Z,component_chunk_02
components/AISystemDetails.tsx,FULLY_WIRED,22,0,"setActiveTab;setActors;setAssessments;setEditData;setEditValue;setEditingField;setEditingStage;setEvidence;setExpandedCategory;setExpandedFunction;setFormData;setIsEditing;setLoading;setNotes;setRiskActivities;setScore;setSelectedActivity;setShowCreateModal;setShowEditModal;setStages;setStatus;setSystem;setTeamMembers",setStages,FULLY_WIRED,components/AISystemDetails.tsx:1-100,"const data = await api.aiRmf.getAISystemById(systemId); setSystem(data); ... await api.aiRmf.updateAISystem(systemId; { [field]: value });",2026-05-25T17:00:00Z,component_chunk_02
components/AISystemDetails_Modals.tsx,FULLY_WIRED,4,0,"setFormData;setSubmitting",,FULLY_WIRED,components/AISystemDetails_Modals.tsx:1-513,"await api.aiRmf.createRiskActivity(systemId; {...}); ... await api.aiRmf.updateRiskActivity(activity.id; {...}); ... await api.aiRmf.addActor(systemId; {...});",2026-05-25T17:00:00Z,component_chunk_02
components/AISystemList.tsx,FULLY_WIRED,5,0,"setDeletingSystem;setLifecycleFilter;setLoading;setSearchTerm;setStatusFilter;setSystems",,FULLY_WIRED,components/AISystemList.tsx:1-289,"const data = await api.aiRmf.getAISystems(filters); setSystems(data as any[]); ... await api.aiRmf.deleteAISystem(systemId);",2026-05-25T17:00:00Z,component_chunk_02
components/AccessibilitySettings.tsx,DEV_FALLBACK,2,1,"setAttribute;setItem;setPreferences;setSaved;setTimeout;setToDefaults",setPreferences,INTENTIONAL_STATIC,components/AccessibilitySettings.tsx:1-552,"Persists all settings to localStorage ... const STORAGE_KEY = 'complyeasy-accessibility-prefs'; ... function loadPreferences() { ... localStorage.getItem(STORAGE_KEY)",2026-05-25T17:00:00Z,component_chunk_02
components/AccountDeletionWorkflow.tsx,FULLY_WIRED,6,0,"setActiveTab;setAuditCategoryFilter;setAuditEntries;setAutoVerify;setDeletionMethod;setGracePeriodDays;setLoadError;setLoading;setNotifyOnComplete;setNotifyOnDenied;setRequests;setRetentionOverride;setSearchQuery;setSelectedExecRequest;setSelectedRequest;setShowCreateModal;setStatusFilter;setSystemDeletions;setTimeout",,FULLY_WIRED,components/AccountDeletionWorkflow.tsx:1-120,"import { api } from '../services/api'; ... Mock data constants removed — component now uses empty initial state with proper error handling.",2026-05-25T17:00:00Z,component_chunk_02
components/AssetManagement.tsx,FULLY_WIRED,6,0,"setActiveTab;setAssets;setClassFilter;setDependency;setFetchError;setForm;setId;setLifecycleFilter;setLoading;setManagement;setName;setSearchQuery;setSelectedAsset;setShowCreateForm;setShowFilters;setType;setTypeConfig;setTypeFilter","setLoading; setFetchError; setAssets",FULLY_WIRED,components/AssetManagement.tsx:1-420,"const res = await fetch('/api/assets?limit=100'; { credentials: 'include' }); ... setAssets(data.map(mapApiAsset));",2026-05-25T17:00:00Z,component_chunk_02
components/AuditPrepAssistant.tsx,FULLY_WIRED,8,0,"setAnalysis;setAttribute;setEvidenceItems;setExecutiveSummary;setExpandedDomain;setExpandedQuestion;setExportingEvidence;setGapFilter;setGapTypeFilter;setGaps;setGenerating;setLoading;setMockQuestions;setSelectedFramework;setStep",,FULLY_WIRED,components/AuditPrepAssistant.tsx:1-320,"const res = await api.post('/audit-prep/analyze'; { framework: selectedFramework }); ... const res = await api.get(`/audit-prep/gaps/${selectedFramework}`);",2026-05-25T17:00:00Z,component_chunk_02
components/AuditTrail.tsx,FULLY_WIRED,4,0,"setAllActions;setAllUsers;setAuditLogs;setFilterAction;setFilterText;setFilterUser;setIsLoading;setSortField;setSortOrder","setIsLoading; setAuditLogs; setAllUsers; setAllActions",FULLY_WIRED,components/AuditTrail.tsx:1-120,"const response = await api.audit.list(); ... const logs: AuditLog[] = Array.isArray(responseData) ? responseData : (responseData?.logs || []);",2026-05-25T17:00:00Z,component_chunk_02
components/AuditorHub.tsx,FULLY_WIRED,7,0,"setActiveTab;setAuditorFirms;setEngagements;setError;setEvidenceRequests;setEvidenceStatusFilter;setFindingSeverityFilter;setFindingStatusFilter;setFindings;setLoading;setSearchQuery;setSelectedFirms;setShowCreateEngagement;setWorkpaperStatusFilter;setWorkpapers","setLoading; setEngagements; setFindings; setWorkpapers; setEvidenceRequests; setAuditorFirms",DEV_FALLBACK,components/AuditorHub.tsx:262-329,"const [engagements; setEngagements] = useState<Engagement[]>(ENGAGEMENTS); ... fetch('/api/auditor/engagements'; { credentials: 'include' }) ... if (Array.isArray(engData.data) && engData.data.length > 0) { setEngagements(engData.data); } } catch { // Keep hardcoded fallback data",2026-05-25T17:00:00Z,component_chunk_02
components/BrandingSettings.tsx,PARTIALLY_WIRED,9,1,"setAccentColor;setActiveTab;setCompanyName;setConfig;setConfirm;setCopiedField;setCustomCss;setCustomDomain;setEmailPrimaryColor;setError;setFaviconFile;setFaviconPreview;setFooterText;setIsLoading;setIsSaving;setLoginHtml;setMainLogoFile;setMainLogoPreview;setPreviewDevice;setPrimaryColor;setSecondaryColor;setServerReachable;setShowResetConfirm;setSuccessMsg;setTimeout;setToDefaults",,DEV_FALLBACK,components/BrandingSettings.tsx:140-260,"const data = await apiFetch<BrandingConfig>(`${API_BASE}/config`); setConfig(data); populateForm(data); ... } catch { // Server unreachable — populate form from DEFAULTS so the preview/UI still renders ... const fallback = { ...DEFAULTS; id: 'local'; ... }",2026-05-25T17:00:00Z,component_chunk_02
components/BreachNotificationWizard.tsx,DEV_FALLBACK,8,3,"setActiveBreachId;setActiveTab;setBreachHistory;setClassification;setContactSearch;setContacts;setCurrentStep;setDeadlines;setDetectedJurisdictions;setDraftedLetters;setExpandedHistory;setHistorySearch;setImpact;setIsGenerating;setIsLoading;setLoadError;setNewSystemInput;setSelectedContact;setSelectedTemplate;setSubmissions;setTemplateSearch;setTemplates;setTimeout","setBreachHistory; setTemplates; setContacts; setLoadError; setIsLoading",DEV_FALLBACK,components/BreachNotificationWizard.tsx:375-440,"const [breachHistory; setBreachHistory] = useState<BreachRecord[]>(DEMO_BREACH_HISTORY); ... const [incidents; apiTemplates; apiContacts] = await Promise.all([api.modules.breach.listIncidents(); ...]); if (incidents && incidents.length > 0) { setBreachHistory(incidents.map(...)); }",2026-05-25T17:00:00Z,component_chunk_02
components/Breadcrumbs.tsx,STATIC_ONLY,0,0,,,INTENTIONAL_STATIC,components/Breadcrumbs.tsx:1-50,"Auto-generated breadcrumb navigation based on current route. Provides contextual navigation hierarchy for deep-linked pages. ... const { breadcrumbs } = useAppNavigate();",2026-05-25T17:00:00Z,component_chunk_02
components/BusinessImpactAnalysis.tsx,FULLY_WIRED,5,0,"setActiveTab;setCritFilter;setEditingProcess;setError;setForm;setImpactStep;setLoading;setProcesses;setSaving;setSearchQuery;setSelectedProcess;setShowModal",,FULLY_WIRED,components/BusinessImpactAnalysis.tsx:1-150,"const API_BASE = (import.meta as ImportMeta & { env: Record<string; string> }).env.VITE_API_URL || 'http://localhost:3001/api'; ... const apiUrl = API_BASE.endsWith('/api') ? API_BASE : ...",2026-05-25T17:00:00Z,component_chunk_02
components/CEMarkingWorkflow.tsx,PARTIALLY_WIRED,12,6,"setActiveTab;setDocuments;setExpandedModule;setFilterRisk;setFilterStatus;setIsLoading;setIsSaving;setLoadError;setNewProduct;setNotifiedBodies;setProducts;setRequirements;setRiskItems;setSearchQuery;setSelectedProduct;setServerReachable;setShowAddProductModal;setShowCELabel;setShowDocModal;setSurveillanceChecks",,DEV_FALLBACK,components/CEMarkingWorkflow.tsx:478-565,"if (productsRes.status === 'rejected') { setServerReachable(false); setProducts(DEMO_PRODUCTS); setNotifiedBodies(DEMO_NOTIFIED_BODIES); setRequirements(DEMO_REQUIREMENTS); setDocuments(DEMO_DOCUMENTS); setRiskItems(DEMO_RISK_ITEMS); setSurveillanceChecks(DEMO_SURVEILLANCE_CHECKS); ... setLoadError('Unable to connect to server. Showing local data.');",2026-05-25T17:00:00Z,component_chunk_02
components/CICDGateSettings.tsx,PARTIALLY_WIRED,10,1,"setActiveTab;setCopiedField;setEditingPolicy;setError;setIntegration;setIsLoading;setIsSaving;setPolicies;setPolicyForm;setResults;setSearchQuery;setServerReachable;setShowDeleteConfirm;setShowPolicyModal;setShowTokenValue;setTimeout",,FULLY_WIRED_WITH_FALLBACK,components/CICDGateSettings.tsx:232-287,"const [policiesRes; resultsRes] = await Promise.allSettled([api.cicdGates.listPolicies(); api.cicdGates.listResults()]); if (policiesRes.status === 'fulfilled' && policiesRes.value) { ... setPolicies(list.map(normaliseServerPolicy)); } else { setPolicies([]); } ... DEFAULT_CHECKS is form template seed",2026-05-25T17:00:00Z,component_chunk_02
components/CSRDDashboard.tsx,PARTIALLY_WIRED,10,5,"setActiveTab;setCategoryFilter;setEnvMetrics;setGovMetrics;setIsLoading;setLoadError;setReportForm;setReports;setSearchTerm;setSelectedTopic;setServerReachable;setShowGenerateModal;setShowReportModal;setShowTopicModal;setSocialMetrics;setTimeout;setTopics","setServerReachable; setTopics; setEnvMetrics; setSocialMetrics; setGovMetrics; setReports; setLoadError; setIsLoading; setTimeout",DEV_FALLBACK,components/CSRDDashboard.tsx:230-283,"const saved = await api.regulationData.getAll('csrd'); setServerReachable(true); if (saved && typeof saved === 'object') { setTopics(Array.isArray(saved.topics) ? saved.topics : DEFAULT_MATERIALITY_TOPICS); if (saved.environmental) setEnvMetrics(saved.environmental); ... } else { setTopics(DEFAULT_MATERIALITY_TOPICS); setReports(DEFAULT_REPORTS); } } catch ... setEnvMetrics(DEFAULT_ENVIRONMENTAL);",2026-05-25T17:00:00Z,component_chunk_02
components/CertificationTracker.tsx,FULLY_WIRED,6,0,"setActiveTab;setCerts;setError;setFormBody;setFormExpiry;setFormName;setFormOwner;setFormScope;setFormStandard;setLoading;setSearchQuery;setSelectedCert;setShowCreateForm;setStatusFilter","setLoading; setError; setCerts",FULLY_WIRED,components/CertificationTracker.tsx:1-200,"apiFetch<{ status: string; data: { certifications: any[] } }>(`${API_BASE}?limit=100`).then((res) => { ... const mapped: Certification[] = res.data.certifications.map((c: any) => { ... }); setCerts(mapped); })",2026-05-25T17:00:00Z,component_chunk_02
components/CommandPalette.tsx,FULLY_WIRED,5,0,"setQuery;setSelectedIndex;setTimeout","setQuery; setSelectedIndex; setTimeout",INTENTIONAL_STATIC,components/CommandPalette.tsx:1-229,"Pure navigation UI primitive — commands are hardcoded navigation actions calling onNavigate prop. No API data displayed; this is a keyboard-driven command launcher (Cmd+K).",2026-05-25T17:00:00Z,component_chunk_02
components/CommunityPage.tsx,STATIC_ONLY,0,0,3,,INTENTIONAL_STATIC,components/CommunityPage.tsx:1-300,"static curated forum/community marketing page; CLAUDE.md lists CommunityPage.tsx as intentionally static; only inline forumPosts/events/resources constants; no api/fetch except outbound anchor hrefs",2026-05-25T17:00:00Z,component_chunk_03
components/ComplianceCalendar.tsx,FULLY_WIRED,6,0,15,,FULLY_WIRED,components/ComplianceCalendar.tsx:1-270,"const res = await fetch(`${apiUrl}/calendar/deadlines?${params}`...); setDeadlines(Array.isArray(data) ? data : data.deadlines || []); useEffect(() => { fetchDeadlines(); }; [fetchDeadlines]);",2026-05-25T17:00:00Z,component_chunk_03
components/ComplianceChat.tsx,FULLY_WIRED,13,0,9,,FULLY_WIRED,components/ComplianceChat.tsx:1-820,"import { api } from '../services/api'; api.risks.create / api.acos.createGoal / api.frameworks.list / api.ai.chat; also chatWithComplianceBot from geminiService",2026-05-25T17:00:00Z,component_chunk_03
components/ComplianceCostDashboard.tsx,FULLY_WIRED,9,0,18,"setLoading; setError; setEntries; setMonthlyTrend; setBudgetData",FULLY_WIRED,components/ComplianceCostDashboard.tsx:1-150,"Promise.all([apiFetch(`${API_BASE}?limit=100`); apiFetch(`${API_BASE}/trend?months=12`); apiFetch(`${API_BASE}/budget`)]); useEffect populates entries; trend; budget from /api/costs",2026-05-25T17:00:00Z,component_chunk_03
components/ComplianceGauge.tsx,FULLY_WIRED,2,0,2,setTimeout,INTENTIONAL_STATIC,components/ComplianceGauge.tsx:1-91,"export const ComplianceGauge: React.FC<ComplianceGaugeProps> = ({ score; label = 'Compliance Score'; size = 200 }) — pure presentational SVG gauge taking score prop; no fetch/api",2026-05-25T17:00:00Z,component_chunk_03
components/ComplianceScoreForecasting.tsx,FULLY_WIRED,6,0,18,"setProjections; setHistoricalData",PARTIALLY_WIRED,components/ComplianceScoreForecasting.tsx:118-400,"5 static arrays declared (FRAMEWORK_PROJECTIONS; RISK_FACTORS; RECOMMENDATIONS; HISTORICAL_DATA; INDUSTRY_BENCHMARKS); useEffect replaces only 2 (setProjections; setHistoricalData); RISK_FACTORS/RECOMMENDATIONS/INDUSTRY_BENCHMARKS still rendered directly throughout",2026-05-25T17:00:00Z,component_chunk_03
components/ControlTestResults.tsx,FULLY_WIRED,10,0,15,,FULLY_WIRED,components/ControlTestResults.tsx:1-230,"api.get('/control-testing/tests'); api.get('/control-testing/coverage'); api.get('/control-testing/trends'); api.post/put/delete for tests/runs",2026-05-25T17:00:00Z,component_chunk_03
components/CookieConsentBanner.tsx,FULLY_WIRED,5,0,8,"setVisible; setSlideIn",FULLY_WIRED,components/CookieConsentBanner.tsx:106-150,"await fetch(`${apiUrl}/cookie-consent/preferences`; { method: 'POST'; ... body: JSON.stringify({ subjectIdentifier: 'self'; categories: {...}; consentMethod: 'CookieBanner' }) })",2026-05-25T17:00:00Z,component_chunk_03
components/DMAGatekeeperManagement.tsx,FULLY_WIRED,9,0,14,,FULLY_WIRED,components/DMAGatekeeperManagement.tsx:1-100,"useEffect(() => { loadGatekeepers(); }; []); const response = await api.euRegulations.dma.getGatekeepers(); setGatekeepers(response.gatekeepers || []);",2026-05-25T17:00:00Z,component_chunk_03
components/DORADashboard.tsx,FULLY_WIRED,8,0,14,"setLoading; setError; setDashboardData; setRisks; setIncidents; setProviders; setTests",FULLY_WIRED,components/DORADashboard.tsx:13-186,"useEffect: Promise.all([api.dora.getDashboard(); api.dora.listAssessments(); api.dora.listIncidents(); api.dora.listProviders(); api.dora.listTests()])",2026-05-25T17:00:00Z,component_chunk_03
components/DPIAWorkflow.tsx,FULLY_WIRED,8,0,14,,FULLY_WIRED,components/DPIAWorkflow.tsx:1-280,"useEffect(() => { loadData(); }; [loadData]); apiFetch('/dpia'; { method: 'POST'; ... }); fetch(`${apiUrl}${endpoint}`; { credentials: 'include' })",2026-05-25T17:00:00Z,component_chunk_03
components/DSAPlatformManagement.tsx,FULLY_WIRED,19,0,28,,FULLY_WIRED,components/DSAPlatformManagement.tsx:128-400,"useEffect(() => { loadPlatforms(); }; []); const response = await api.euRegulations.dsa.getPlatforms(); setPlatforms(response.platforms || []);",2026-05-25T17:00:00Z,component_chunk_03
components/DarkModeToggle.tsx,STATIC_ONLY,0,0,1,,INTENTIONAL_STATIC,components/DarkModeToggle.tsx:1-83,"CLAUDE.md explicitly lists DarkModeToggle.tsx as UI primitive (presentational only); uses useDarkMode hook only for theme local state; no api/fetch",2026-05-25T17:00:00Z,component_chunk_03
components/Dashboard.tsx,FULLY_WIRED,6,0,5,"setTrendData; setChartReady; setTimeout",FULLY_WIRED,components/Dashboard.tsx:33-110,"import { api } from '../services/api'; const data = await api.get('/frameworks/scores/history?months=6'); setTrendData(data.scores.map(...)); local fallback only if API fails",2026-05-25T17:00:00Z,component_chunk_03
components/DemoBookingForm.tsx,FULLY_WIRED,2,0,3,,FULLY_WIRED,components/DemoBookingForm.tsx:1-160,"import { api } from '../services/api'; await api.demo.submitRequest({ ...formData }); on form submit",2026-05-25T17:00:00Z,component_chunk_03
components/DigitalProductPassport.tsx,PARTIALLY_WIRED,15,6,"DEMO_CARBON;DEMO_MATERIALS;DEMO_PRODUCTS;DEMO_SHARING;DEMO_SUPPLY_CHAIN;DEMO_VERSIONS",21,,DEV_FALLBACK,components/DigitalProductPassport.tsx:425-549,"loadData fetches passports via api.modules.dpp.listPassports() and detail via Promise.allSettled([api.modules.dpp.getMaterials/getCarbon/getSupplyChain/getPassport]); on catch falls back to setProducts(DEMO_PRODUCTS); setMaterials(DEMO_MATERIALS); etc.",2026-05-25T17:00:00Z,component_chunk_03
components/DocsPage.tsx,FULLY_WIRED,3,0,5,,INTENTIONAL_STATIC,components/DocsPage.tsx:1-200,"static documentation page with docSections array and code-sample strings; 'api.complyeasyai.com/v1/frameworks' references are inside fenced code blocks shown to users as examples; CLAUDE.md lists DocumentationPage as intentional-static",2026-05-25T17:00:00Z,component_chunk_03
components/ESGReportingModule.tsx,PARTIALLY_WIRED,13,5,"DEMO_ESRS;DEMO_MATERIALITY;DEMO_METRICS;DEMO_REPORTS;DEMO_SDG",14,,DEV_FALLBACK,components/ESGReportingModule.tsx:324-440,"useState initialised to DEMO_*; useEffect calls api.modules.esg.listMetrics/listMateriality/listReports and replaces all 5 via setMetrics/setEsrsStandards/setMaterialityTopics/setSdgAlignments/setReports; DEMO_* visible only until fetch completes",2026-05-25T17:00:00Z,component_chunk_03
components/EUAIActDashboard.tsx,FULLY_WIRED,10,0,15,,FULLY_WIRED,components/EUAIActDashboard.tsx:91-170,"useEffect(() => { loadSystems(); }; []); const response = await api.euRegulations.aiAct.getSystems(); api.euRegulations.aiAct.generateTransparencyReport(...) and registerSystem/conductRiskAssessment",2026-05-25T17:00:00Z,component_chunk_03
components/EUCRADashboard.tsx,DEV_FALLBACK,9,4,"DEFAULT_PRODUCTS;DEFAULT_TIMELINE;DEFAULT_UPDATES;DEFAULT_VULNERABILITIES",20,"setProducts; setVulnerabilities; setUpdates; setTimeline; setServerReachable; setLoadError; setIsLoading; setTimeout",FULLY_WIRED_WITH_FALLBACK,components/EUCRADashboard.tsx:369-425,"const saved = await api.regulationData.getAll('eu-cra'); setProducts(Array.isArray(saved.products) ? saved.products : []); ... auto-save on debounce via api.regulationData.save; DEFAULT_* only on catch when server unreachable",2026-05-25T17:00:00Z,component_chunk_03
components/EcodesignDashboard.tsx,DEV_FALLBACK,9,4,"setActiveTab,setCategoryFilter,setIsLoading,setLcas,setLoadError,setPassports,setProductForm,setProducts,setRequirements,setSearchTerm,setSelectedLCA,setSelectedPassport,setSelectedProduct,setServerReachable,setShowDetailModal,setShowLCAModal,setShowPassportModal,setShowProductModal,setTimeout","setServerReachable; setProducts; setPassports; setLcas; setRequirements; setLoadError; setIsLoading; setTimeout",DEV_FALLBACK,components/EcodesignDashboard.tsx:1-360,"const saved = await api.regulationData.getAll('ecodesign'); ... setProducts(Array.isArray(saved.products) ? saved.products : DEFAULT_PRODUCTS); setPassports(...); setLcas(...); setRequirements(...);",2026-05-25T17:00:00Z,component_chunk_04
components/EnvironmentalLifecycle.tsx,PARTIALLY_WIRED,7,6,"setActiveTab,setCircularMetrics,setExpandedImprovement,setImpactCategories,setImprovementStageFilter,setImprovementStatusFilter,setImprovements,setIsLoading,setIsRefreshing,setIsSaving,setLoadError,setProducts,setReports,setSelectedProduct,setSelectedStage,setServerReachable,setShowComparison,setStages",,DEV_FALLBACK,components/EnvironmentalLifecycle.tsx:1-450,"const data = await api.modules.lifecycle.listAssessments(); ... if (Array.isArray(d.products)) setProducts(d.products); ... if (Array.isArray(d.stages)) setStages(...); ... catch -> setProducts(DEMO_PRODUCTS); setStages(DEMO_STAGES); setImpactCategories(DEMO_IMPACT_CATEGORIES); setImprovements(DEMO_IMPROVEMENTS); setReports(DEMO_REPORTS); setCircularMetrics(DEMO_CIRCULAR);",2026-05-25T17:00:00Z,component_chunk_04
components/EvidenceCollectionRules.tsx,FULLY_WIRED,11,0,"setAvailableControls,setControlSearch,setEditingId,setFilterSource,setFilterStatus,setForm,setLoading,setMetrics,setRules,setSearchQuery,setSelectedRule,setShowDeleteConfirm,setTimeout,setTriggering,setViewMode",,FULLY_WIRED,components/EvidenceCollectionRules.tsx:1-260,"const res = await api.get('/evidence-collection/rules'); ... await api.post('/evidence-collection/rules'; form); ... await api.delete(`/evidence-collection/rules/${id}`);",2026-05-25T17:00:00Z,component_chunk_04
